Strength,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
79.99,1.0,0.9999999999898583,0.9999999999872327,0.4034126735190462,0.07872723634812351,0.7308026828522323,0.25185343970588114,0.5647902515035872
61.89,1.0,1.0,1.0000000000000002,0.4034126735190462,0.07872723634812351,0.7708813145315645,0.25185343970588114,0.5647902515035872
40.27,0.7090301521625513,0.6578482981785518,0.5692622285488766,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.0,0.9489015864994571
41.05,0.7090301521625513,0.6578482981785518,0.5692622285488766,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.0,1.0
44.3,0.39980883662240485,0.6389678375335592,0.5454934514277892,0.6437197722740828,0.9649193362935747,0.5599166376251326,0.6409795335394914,0.9976621081171929
47.03,0.5751383705737343,0.6005390424601487,0.4971151050353728,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.2344897418200098,0.7626928742409262
43.7,0.7891523692341886,0.5537139710666705,0.43816661291128023,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.0,1.0
36.45,0.7891523692341886,0.5537139710666705,0.43816661291128023,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.0,0.5647902515035872
45.85,0.5751383705737343,0.6005390424601487,0.4971151050353728,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.2344897418200098,0.5647902515035872
39.29,0.9230441508230056,0.9670608428151677,0.9585326067830668,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.0,0.5647902515035872
38.07,0.39980883662240485,0.6389678375335592,0.5454934514277892,0.6437197722740828,0.9649193362935747,0.5599166376251326,0.6409795335394914,0.7626928742409262
28.02,0.39980883662240485,0.6389678375335592,0.5454934514277892,0.6437197722740828,0.9649193362935747,0.5599166376251326,0.6409795335394914,0.5647902515035872
43.01,0.8598251733196904,0.37569516305162354,0.21405717773213873,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.0,0.9489015864994571
42.33,0.37324650790927505,0.7317327790817176,0.6622760480904217,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.2344897418200098,0.7626928742409262
47.81,0.6552605876453717,0.49640471534826736,0.3660194893977764,0.8867866986162563,0.9999999999999999,0.4239359214360192,0.2344897418200098,0.5647902515035872
